code,agriculture_va,annual_freshwater_withdrawals,births_attended_by_skilled_health_staff,co2_emissions,contraceptive_prevalence_any_method,domestic_credit_provided_by_financial_sector,electric_power_consumption,energy_use,exports_of_goods_and_services,external_debt_stocks_total,fertility_rate_total,foreign_direct_investment_net_inflows,forest_area,gdp,gdp_growth,gni_atlas_method,gni_per_capita_atlas_method,gni_per_capita_ppp,gni_ppp,gross_capital_formation,high_technology_exports,immunization_measles,imports_of_goods_and_services,income_share_held_by_lowest_20,industry_(including_construction)_value_added,inflation_gdp_deflator,life_expectancy_at_birth_total,merchandise_trade,military_expenditure,mobile_cellular_subscriptions,mortality_rate_under_5,net_barter_terms_of_trade_index,net_migration,net_official_development_assistance_and_official_aid_received,personal_remittances_received,population_density,population_growth,population_total,poverty_headcount_ratio_at_dollars,poverty_headcount_ratio_at_national,prevalence_of_hiv_total,prevalence_of_underweight_weight_for_age,primary_completion_rate_total,revenue_excluding_grants,school_enrollment_gender_parity_index,school_enrollment_gross,school_enrollment_primary,statistical_capacity_score,surface_area,tax_revenue,teenage_fertility_rate,terrestrial_and_marine_protected_areas,time_required_to_start_a_business,total_debt_service,urban_population_growth,Year
ABW,..,..,..,..,..,..,..,..,71.82175623,..,1.872,27551267.63,4.2,2983798883,2.116716123,2795030898,26650,35880,3762901965,20.57667104,4.042394975,..,70.41752481,..,..,-1.389713114,75.868,50.54452593,..,..,..,126.3141791,..,..,52682566.15,582.5833333,0.502859514,104865,..,..,..,..,..,..,..,..,..,..,180,..,23.8416,0.527983105,..,..,0.697901383,2016
AFE,13.72088673,..,..,0.948409809,..,..,..,..,21.8672466,..,4.569674667,16632780788,4607876.1,8.82E+11,2.217016505,9.00E+11,1475.979716,3542.301455,2.16E+12,23.93466618,6.442630149,73.40339346,26.49330511,..,24.46339742,6.400900454,62.78768149,43.09176865,1.428236853,64.96315617,66.51592775,..,..,25069150086,10178689993,41.08945148,2.712217978,609978946,..,..,5.104623762,..,..,20.87932061,..,..,..,58.59904493,15162075.92,17.14113023,97.91660103,14.39985207,31.57692308,..,4.085542186,2016
AFG,25.74031404,..,..,0.149789334,22.5,..,..,..,..,2596050086,4.8,93591315.3,12084.4,18116562465,2.260314201,19393029362,550,2000,70796494470,..,..,64,..,..,10.46680769,-2.197526466,63.763,39.35625212,0.956772141,61.05463771,67.5,163.7966761,..,4069379883,627710802.4,54.24931083,2.778034788,35383028,..,54.5,0.1,..,80.49504089,12.6780099,0.645669997,51.65594101,102.4864731,51.1111,652860,9.502652783,75.325,0.10470704,8.5,4.373087744,3.649127826,2016
AFW,21.00614991,..,..,0.499404563,..,..,..,..,16.87936768,..,5.25167419,13937041742,1822960.779,6.91E+11,0.127844424,7.35E+11,1782.174394,3959.127051,1.63E+12,19.70295143,3.343521893,60.95491585,21.27795578,..,21.03425683,1.784171968,56.97476115,29.86794291,0.897884627,86.32538724,104.637694,..,..,13834239950,28389901690,45.60704538,2.730331791,412551299,..,..,1.643350148,..,..,..,..,..,..,60.58202222,9166270,..,114.6991463,13.78676096,24.2,..,4.153637389,2016
AGO,9.83116886,..,49.6,1.031811348,13.7,27.54314251,..,..,28.12448545,57827339857,5.686,-179517618.9,688276.2,49840494026,-2.579999996,71496222143,2480,6730,1.94E+11,27.21470927,12.98472667,45,25.24567262,..,42.64356787,21.77417353,59.925,81.51805233,2.733340655,45.07629005,84.1,121.7248952,..,201270004.3,3988048.38,23.13506216,3.378269432,28842482,..,..,1.8,..,..,15.72076938,..,50.67147827,..,42.22216667,1246700,9.732512484,153.9008,5.004713342,36,38.26572701,4.480204339,2016
ALB,19.84999447,..,..,1.557664358,..,66.39007178,..,..,28.97789918,8516222980,1.659,1044389555,7891.8,11861199831,3.314980684,12420734605,4320,12280,35304171240,25.22382594,0.784313365,96,45.83196365,7.3,21.14196535,-0.632653419,78.194,55.40754809,1.103581009,116.7444442,9.4,93.14646307,..,171039993.3,1306009167,104.9671898,-0.159880412,2876101,0.1,23.7,0.1,..,99.88155365,24.27857375,0.993550003,95.71499634,105.5538635,82.22223333,28750,17.59022981,19.8596,13.14774946,5,15.16811956,1.54401448,2016
AND,..,..,100,6.080600282,..,..,..,..,..,..,..,..,160,2896610480,3.70967807,..,..,..,..,..,24.28024762,97,..,..,..,0.347795382,..,50.0930315,..,98.49282637,3.2,..,..,..,..,164.4574468,-0.898980862,77295,..,..,..,..,..,..,..,..,..,..,470,..,..,21.19093028,..,..,-1.009387627,2016
ARB,5.743886349,..,..,4.550515314,..,..,..,..,38.15924122,..,3.322437279,32582348458,377730.6,2.50E+12,3.175146768,2.65E+12,6563.464625,13907.24663,5.62E+12,28.84690126,1.872765646,86.73198009,38.53954072,..,37.73764306,1.074658842,71.43654717,63.74104841,6.097516464,103.1907993,37.68171538,..,..,27757370087,48647574275,30.84172341,2.023741985,404042892,..,..,0.121476436,..,84.34924316,..,0.94253999,70.79039001,95.33702087,..,13166230.9,..,47.50473939,4.286690201,23.30909091,..,2.576059739,2016
ARE,0.776040796,..,..,21.48066861,..,109.1983083,..,..,101.0029881,..,1.491,9604773000,3173,3.57E+11,2.984216091,3.80E+11,40550,64340,6.02E+11,26.01972056,2.617915574,99,75.74461474,..,41.44865791,-3.193219003,77.47,157.2929896,..,212.6389865,7.4,151.4371833,..,..,..,131.8075894,1.053270899,9360975,..,..,..,..,..,4.031391454,0.960950017,95.34329224,108.6727066,..,98647.9,0.043494689,8.5908,9.235667522,8.3,..,1.392346965,2016
ARG,6.26456582,..,98.4,4.201845776,..,37.93224826,..,..,12.52709517,1.82E+11,2.288,3260164342,290100,5.58E+11,-2.080327844,5.33E+11,12220,19860,8.66E+11,17.66322786,8.982391262,90,13.56679268,4.9,22.05410721,41.11937999,76.221,20.40459154,0.813140078,146.4538276,10.9,155.244929,..,2619999.886,391579047.7,15.92813508,1.057181578,43590368,0.7,30.3,0.4,..,103.8935699,21.25670131,1.020810008,108.4623337,110.7391815,88.8889,2780400,12.09728364,62.939,7.528593349,24.5,34.92833982,1.192602919,2016
