Entity,Code,Year,Economic Complexity Index (ECI) (Observatory of Economic Complexity (2016))
Albania,ALB,1964,-0.16267499
Albania,ALB,1965,-0.144394
Albania,ALB,1966,0.001056
Albania,ALB,1967,0.21063501
Albania,ALB,1968,0.056063
Albania,ALB,1969,0.061085999
Albania,ALB,1970,-0.024968
Albania,ALB,1971,0.089795001
Albania,ALB,1972,0.094190001
Albania,ALB,1973,-0.064341001
Albania,ALB,1974,-0.170026
Albania,ALB,1975,-0.13874801
Albania,ALB,1976,-0.171997
Albania,ALB,1977,-0.26786301
Albania,ALB,1978,0.027023001
Albania,ALB,1979,-0.074055001
Albania,ALB,1980,0.42067599
Albania,ALB,1981,0.242285
Albania,ALB,1982,0.34736201
Albania,ALB,1983,0.203431
Albania,ALB,1984,-0.040355001
Albania,ALB,1985,-0.226584
Albania,ALB,1986,-0.33635899
Albania,ALB,1987,-0.229183
Albania,ALB,1988,-0.28195199
Albania,ALB,1989,-0.264478
Albania,ALB,1990,-0.19779401
Albania,ALB,1991,-0.21099401
Albania,ALB,1992,-0.242111
Albania,ALB,1993,-0.19509301
Albania,ALB,1994,-0.179171
Albania,ALB,1995,-0.28680101
Albania,ALB,1996,-0.37706399
Albania,ALB,1997,-0.404282
Albania,ALB,1998,-0.43934
Albania,ALB,1999,-0.42106
Albania,ALB,2000,-0.27605501
Albania,ALB,2001,-0.047386002
Albania,ALB,2002,-0.017419999
Albania,ALB,2003,-0.023840001
Albania,ALB,2004,-0.128714
Albania,ALB,2005,-0.245883
Albania,ALB,2006,-0.39510101
Albania,ALB,2007,-0.49088901
Albania,ALB,2008,0.151114
Albania,ALB,2009,0.56327897
Albania,ALB,2010,0.55278802
Albania,ALB,2011,0.27274901
Albania,ALB,2012,-0.47258601
Albania,ALB,2013,-0.68493301
Albania,ALB,2014,-0.54207897
Albania,ALB,2015,-0.65088499
Albania,ALB,2016,-0.99780202
Algeria,DZA,1964,-0.13141599
Algeria,DZA,1965,-0.248026
Algeria,DZA,1966,-0.298926
Algeria,DZA,1967,-0.326832
Algeria,DZA,1968,-0.46939701
Algeria,DZA,1969,-0.52116102
Algeria,DZA,1970,-0.49276501
Algeria,DZA,1971,-0.38789499
Algeria,DZA,1972,-0.58116198
Algeria,DZA,1973,-0.63415498
Algeria,DZA,1974,-0.77250397
Algeria,DZA,1975,-0.65800899
Algeria,DZA,1976,-0.81582999
Algeria,DZA,1977,-0.82202297
Algeria,DZA,1978,-0.93973303
Algeria,DZA,1979,-0.84465402
Algeria,DZA,1980,-0.75475103
Algeria,DZA,1981,-1.0883
Algeria,DZA,1982,-1.11657
Algeria,DZA,1983,-1.18598
Algeria,DZA,1984,-1.18261
Algeria,DZA,1985,-1.10051
Algeria,DZA,1986,-1.2243201
Algeria,DZA,1987,-0.78763902
Algeria,DZA,1988,-0.29223099
Algeria,DZA,1989,-0.25745699
Algeria,DZA,1990,-0.649656
Algeria,DZA,1991,-0.64568698
Algeria,DZA,1992,-0.79803199
Algeria,DZA,1993,-0.770482
Algeria,DZA,1994,-0.63565701
Algeria,DZA,1995,-0.78749698
Algeria,DZA,1996,-0.72510999
Algeria,DZA,1997,-0.81471801
Algeria,DZA,1998,-0.80282903
Algeria,DZA,1999,-0.74116498
Algeria,DZA,2000,-0.84342402
Algeria,DZA,2001,-0.90610802
Algeria,DZA,2002,-0.80861801
Algeria,DZA,2003,-0.87559199
Algeria,DZA,2004,-1.11
Algeria,DZA,2005,-1.1146801
Algeria,DZA,2006,-0.78872699
Algeria,DZA,2007,-0.68275499
Algeria,DZA,2008,-1.0320899
Algeria,DZA,2009,-1.07781
Algeria,DZA,2010,-1.1549799
Algeria,DZA,2011,-1.28473
Algeria,DZA,2012,-1.56777
Algeria,DZA,2013,-2.0815401
Algeria,DZA,2014,-1.7725199
Algeria,DZA,2015,-1.6871001
Algeria,DZA,2016,-0.78158498
Angola,AGO,1964,-1.31753
Angola,AGO,1965,-1.21766
Angola,AGO,1966,-1.17056
Angola,AGO,1967,-1.03878
Angola,AGO,1968,-1.23318
Angola,AGO,1969,-1.22352
Angola,AGO,1970,-1.20874
Angola,AGO,1971,-1.32727
Angola,AGO,1972,-1.28119
Angola,AGO,1973,-1.15258
Angola,AGO,1974,-1.14003
Angola,AGO,1975,-1.24488
Angola,AGO,1976,-1.37667
Angola,AGO,1977,-1.54506
Angola,AGO,1978,-1.43599
Angola,AGO,1979,-1.4835
Angola,AGO,1980,-1.43557
Angola,AGO,1981,-1.70915
Angola,AGO,1982,-1.7686501
Angola,AGO,1983,-2.01443
Angola,AGO,1984,-1.94971
Angola,AGO,1985,-1.78521
Angola,AGO,1986,-1.822
Angola,AGO,1987,-1.2618099
Angola,AGO,1988,-1.6952
Angola,AGO,1989,-1.2709301
Angola,AGO,1990,-1.67635
Angola,AGO,1991,-2.0067899
Angola,AGO,1992,-2.04018
Angola,AGO,1993,-1.46963
Angola,AGO,1994,-1.2622401
Angola,AGO,1995,-1.70503
Angola,AGO,1996,-1.75814
Angola,AGO,1997,-1.79175
Angola,AGO,1998,-1.60166
Angola,AGO,1999,-1.61325
Angola,AGO,2000,-1.6736701
Angola,AGO,2001,-1.71443
Angola,AGO,2002,-2.04759
Angola,AGO,2003,-2.0692401
